SKU,created_at,day,pSupplierSKU,psupplierCode,qty_count,order_count,price,pName
1300920079,"2014-12-26 07:55:33",0,SF-603B-red,141-0006,1,1,8.46,"Cree Q5 Runtime 2-3 Hours 1000-Lumen Red Shell LED Flashlight"
1170922060,"2014-12-26 07:55:33",3,1156-D6W,122-0005,6,3,7.41,"LED Reversing Lamp 1156 6W 300LM 4-LED High Power White Light(DC12-24V)"
1300827189,"2014-12-26 07:55:33",0,L6-T6-AU,141-0004,1,1,25.69,"LED Flashlight CREE L2 1100LM 5-Mode White Light-Black(1x18650/1x22650) AU Standard"
1000725099,"2014-12-26 08:14:37",0,LX-TG-SB-29,119-0014,10,1,7.15,"LED Spot Bulb G5.3 7W 100-530LM 48xSMD2835 Warm White Dimmable-Silver(AC220-240V)"
1300830904,"2014-12-26 11:04:13",0,K108,141-0005,1,1,27.64,"Cree T6 800LM 5-Mode LED Flashlight(1x18650,Black) "
1500822432,"2014-12-26 11:22:38",0,5050-60-AIP67-NW,151-0003,1,1,29.18,"LED Flexible Strip 60W 300*5050SMD IP67 Casing Pipe Natural White(DC12V/5m)"
1500822728,"2014-12-26 11:22:38",0,5050-60-CIP67-NW-US,151-0003,1,1,41.15,"LED Flexible Strip 60W 300*5050SMD IP67 Casing Pipe Natural White Gift Box with Adapter-US Plug(AC110-256V/5m)"
1300823329,"2014-12-26 15:15:19",0,SF-342,141-0006,6,1,29.59,"LED Flashlight CREE T6 2400Lm 5-Mode Natural White-Black(2*18650)"
1300827138,"2014-12-26 15:52:28",0,D4-EU,141-0004,1,1,65.04,"LED Diving Flashlight CREE U2 1000LM 1-Mode White Light-Black(1x18650) EU Standard"
1030926139,"2014-12-26 15:52:29",0,LX-LZD-22,119-0014,2,1,4.07,"LED Candle Bulb E14 3W 150-180LM 6xSMD5630 Cool White-Silver(AC110-240V)"
1010728088,"2014-12-26 16:38:10",0,LX-QPD-COB-13,119-0014,2,1,7.15,"LED Ball Bulb A60 E27 4W 300-350LM 4-LED Warm White Filament Lamp-Transparent(AC220-240V)"
1500822466,"2014-12-26 16:38:10",0,3528-60-AIP65-NW,151-0003,1,1,15.57,"LED Flexible Strip 20W 300*3528SMD IP65 Epoxy Natural White(DC12V/5m)"
1500722465,"2014-12-26 16:38:10",1,3528-60-AIP65-WW,151-0003,7,4,15.57,"LED Flexible Strip 20W 300*3528SMD IP65 Epoxy Warm White(DC12V/5m)"
1000726021,"2014-12-26 16:38:10",3,COB-SPM-5WCD-WW,119-0016,25,3,6.18,"LED Spot Bulb GU10 5W 450Lm COB Warm White Dimmable-Silver Shell(AC100-240V)"
1810620881,"2014-12-26 18:12:36",2,"BO0910-A7G Green-GB",174-0001,2,2,22.05,"2.16W Remote Control RGB LED Desk Lamp-Green GB Standard"
1000725071,"2014-12-26 18:18:22",0,LX-DB-23,119-0014,5,1,6.18,"LED Spot Bulb MR16(GU5.3) 5.5W 300-350LM 5xSMD2835 Warm White-White Shell(DC12V)"
1520926681,"2014-12-26 18:40:15",0,MZ-HF5-W,122-0005,1,1,11.38,"LED Module 12W 100-LED Cool White Piranha LED(DC12V) 20PCS"
1030723583,"2014-12-26 18:51:47",0,F37,119-0006,3,1,6.50,"LED Candle Bulb E14 5W 420Lm 21*SMD2835 F37 Warm White-White(AC220-240V)"
3001126078,"2014-12-26 18:58:57",0,PO-100W-001B,119-0016,1,1,47.15,"LED Power Supply 100W Constant Current Silver Shell(DC12-24V)"
1020823057,"2014-12-26 19:00:16",0,HS-JN01-060-E40-NW,119-0011,2,2,123.58,"LED Corn Bulb E40 60W 4000-4500K Natural White(AC85-265V)"
1020727611,"2014-12-26 19:40:19",0,G9-GYX72-WW,122-0005,4,1,5.04,"LED Corn Bulb G9 4W 72xSMD3014 280LM Warm White Dimmable(AC220-240V)"
1000910858,"2014-12-26 20:49:35",0,SP-11-E27-CW,119-0015,7,1,5.72,"4W E27 AC85-265V Cool White Spot Bulb"
1000623530,"2014-12-26 21:38:53",0,E14-RGB-3W-Silver,141-0005,1,1,5.85,"LED Spot Bulb E14 3W 200LM 1-LED High Power RGB Light-Silver(AC85-265V)"
1020727637,"2014-12-26 22:00:57",0,E27-GYX8W-WW,122-0005,2,1,11.38,"LED Corn Bulb E27 8W 80xSMD3014 600LM Warm White(AC86-265V)"
1030926149,"2014-12-26 23:31:38",0,LX-LZD-32,119-0014,10,1,4.88,"LED Candle Bulb E14 3.5W 150-180LM 6-SMD5630 Cool White Dimmable-Silver(AC220-240V)"
2561224976,"2014-12-26 23:36:59",0,XS-GL-14W-GB,206-0002,1,1,25.00,"14W AC85-264V LED Grow Light GB Plug"
3250630696,"2014-12-26 23:49:59",3,SCM8008-A21-T,238-0004,3,2,12.36,"3.15-inch 1-LED 3-Spray-Mode Chrome Finish ABS Shower Head-Temperature Sensor"
1000723561,"2014-12-27 00:00:51",2,SL-99-WW,119-0015,16,2,3.71,"LED Spot Bulb GU10 3W 270Lm COB Warm White-Silver(AC85-265V)"
2200727089,"2014-12-27 00:00:51",0,T5-06A-10W-WW,119-0016,2,2,10.41,"Integrated LED Tube T5 600MM 10W 900LM SMD2835 Warm White Milky Cover(AC100-240V)"
1000727858,"2014-12-27 00:04:09",0,LX-COB-PAR30-41,119-0014,10,1,14.63,"LED PAR30 Spot Bulb E27 12W 750-850LM COB Warm White-Silver(AC110-240V)"
1220921183,"2014-12-27 00:50:26",0,RLD-27WD-F,122-0004,2,1,18.86,"LED Work Light 4.3 inch 27W 1800LM 9-LED White Light Floodlight Round Shape(DC9-32V)"
1030711326,"2014-12-27 01:07:10",0,JWB-3W-014-SWW,119-0016,10,1,3.19,"3W LED Candle Bulb E14 AC110-240V Dimmable Warm White"
1300830778,"2014-12-27 01:59:55",0,SF-F6,141-0004,3,1,28.44,"Supfire F6 5-Mode Cree XML-T6 900LM LED Flashlight (1x18650, Black) "
1300830794,"2014-12-27 02:59:41",0,SF-Y3,141-0004,1,1,28.76,"Supfire Y3 5-Mode Cree Q5 350LM LED Flashlight (1x18650/AC Charger/Car Cigarette Lighter, Black) "
2400920037,"2014-12-27 06:12:34",0,SF-526,141-0006,1,1,21.14,"3xCree T6 3000-Lumen Runtime 1 Hour LED Headlamp & Bike Front Light (4*18650)"
1030928123,"2014-12-27 06:52:41",0,LX-LW-B22-4COB-CW,119-0014,4,1,6.83,"LED Candle Bulb C35 B22 3.5W 250-300LM Cool White Filament Lamp-White(AC220-240V)"
1500922467,"2014-12-27 07:32:00",0,3528-60-AIP65-CW,151-0003,3,1,15.57,"LED Flexible Strip 20W 300*3528SMD IP65 Epoxy Cool White(DC12V/5m)"
1000920117,"2014-12-27 09:03:14",3,SPM-3W-003CW,119-0016,9,4,2.76,"LED Spot Bulb 3W GU10 AC100-220V Cool White Dimmable"
3240230634,"2014-12-27 09:09:17",0,SCM8002-A13-B,238-0004,3,1,5.85,"Hot Sale Chrome Finish Metal Water Powered Kitchen LED Faucet Light-Blue"
1180922096,"2014-12-27 09:13:22",3,T10-CB-L8-CW,122-0005,13,3,3.93,"LED Canbus Lamp T10 1.6W DC12V 90LM 8*SMD2835 White Light(1 Pair)"
2500828278,"2014-12-27 10:37:56",0,PC-TG20W-A03-NW,206-0005,1,1,25.37,"Waterproof LED Floodlight 20W 1700-1900LM Integrated Induction Natural White-Black(AC85-265V)"
2500828281,"2014-12-27 10:37:56",0,PC-TG30W-A03-NW,206-0005,1,1,32.52,"Waterproof LED Floodlight 30W 2700-2900LM Integrated Induction Natural White-Black(AC85-265V)"
1500222427,"2014-12-27 11:14:47",0,5050-60-AIP65-B,151-0003,10,1,29.18,"LED Flexible Strip 60W 300*5050SMD IP65 Epoxy Blue Light(DC12V/5m)"
1641322239,"2014-12-27 11:35:12",0,T1009,245-0003,3,1,13.01,"Waterproof LED String Light 100-LED 10M Pink Light EU Plug(DC12V)"
1020922197,"2014-12-27 12:15:31",0,G4-ACX57-CW,122-0005,4,1,4.88,"LED Corn Bulb G4 3W 57*3014SMD 6000-6500K Cool White(AC/DC12V)"
2420920010,"2014-12-27 12:56:40",0,SF-536,141-0006,1,1,11.71,"Cree T6 1000-Lumen Runtime 3-4 Hours LED Headlamp(2*18650)"
